lh.aparc.area	bankssts	caudalanteriorcingulate	caudalmiddlefrontal	cuneus	entorhinal	fusiform	inferiorparietal	inferiortemporal	isthmuscingulate	lateraloccipital	lateralorbitofrontal	lingual	medialorbitofrontal	middletemporal	parahippocampal	paracentral	parsopercularis	parsorbitalis	parstriangularis	pericalcarine	postcentral	posteriorcingulate	precentral	precuneus	rostralanteriorcingulate	rostralmiddlefrontal	superiorfrontal	superiorparietal	superiortemporal	supramarginal	frontalpole	temporalpole	transversetemporal	insula	WhiteSurfArea	BrainSegVolNotVent	eTIV
SUBJ002/SUBJ002_ses-1	1046.0	640.0	2683.0	1592.0	709.0	2969.0	4733.0	3823.0	1091.0	5488.0	2541.0	2444.0	1769.0	3270.0	663.0	1505.0	1311.0	610.0	1077.0	1151.0	4615.0	1178.0	5426.0	3815.0	809.0	7004.0	7738.0	5435.0	4423.0	4227.0	261.0	460.0	495.0	2631.0	89535.3	1098284.0	1660018.3146
SUBJ002/SUBJ002_ses-1.long.SUBJ002_tmpl	1001.0	657.0	2686.0	1524.0	670.0	2969.0	4571.0	3702.0	1033.0	5375.0	2497.0	2322.0	2101.0	3169.0	662.0	1467.0	1295.0	565.0	1014.0	1141.0	4620.0	1242.0	5350.0	3752.0	742.0	6949.0	7631.0	5278.0	4312.0	4117.0	266.0	440.0	494.0	2193.0	87805.6	1073192.0	1658756.60649
SUBJ003/SUBJ003_ses-1	1199.0	760.0	2123.0	1807.0	440.0	3374.0	5666.0	3687.0	1193.0	5830.0	2992.0	3599.0	2067.0	3543.0	671.0	1574.0	1851.0	773.0	1438.0	1336.0	4168.0	1269.0	5329.0	3948.0	889.0	6924.0	7752.0	6062.0	4139.0	3981.0	260.0	515.0	411.0	2540.0	94106.1	1228028.0	1891990.48979
SUBJ003/SUBJ003_ses-1.long.SUBJ003_tmpl	1150.0	738.0	2102.0	1751.0	474.0	3315.0	5638.0	3693.0	1189.0	5650.0	2922.0	3474.0	2089.0	3395.0	657.0	1584.0	1830.0	694.0	1432.0	1308.0	4070.0	1235.0	5382.0	3887.0	923.0	6924.0	7809.0	5886.0	4040.0	3915.0	247.0	494.0	417.0	2467.0	92783.7	1211693.0	1891495.3563
SUBJ003/SUBJ003_ses-2	1124.0	732.0	2137.0	1817.0	415.0	3230.0	5513.0	3617.0	1151.0	5635.0	2986.0	3514.0	2141.0	3427.0	666.0	1577.0	1886.0	690.0	1390.0	1350.0	4134.0	1202.0	5462.0	3766.0	818.0	6981.0	7688.0	5788.0	4040.0	3983.0	228.0	475.0	406.0	2377.0	92319.7	1187036.0	1890143.54591
SUBJ003/SUBJ003_ses-2.long.SUBJ003_tmpl	1119.0	696.0	2086.0	1783.0	519.0	3235.0	5542.0	3632.0	1133.0	5681.0	2895.0	3515.0	1974.0	3364.0	647.0	1557.0	1829.0	694.0	1403.0	1316.0	4023.0	1168.0	5373.0	3798.0	890.0	6836.0	7744.0	5752.0	3994.0	3881.0	237.0	471.0	396.0	2388.0	91571.6	1186296.0	1891495.3563
SUBJ003/SUBJ003_ses-3	1103.0	740.0	2315.0	1816.0	381.0	3341.0	5675.0	3471.0	1225.0	5727.0	3239.0	3554.0	2063.0	3291.0	636.0	1644.0	1748.0	851.0	1463.0	1276.0	4213.0	1212.0	5628.0	3785.0	904.0	7806.0	8385.0	6103.0	3971.0	3974.0	216.0	518.0	399.0	2418.0	95090.4	1153777.0	1906233.04043
SUBJ003/SUBJ003_ses-3.long.SUBJ003_tmpl	1112.0	654.0	2129.0	1742.0	441.0	3066.0	5490.0	3443.0	1170.0	5369.0	2946.0	3330.0	1983.0	3157.0	634.0	1577.0	1850.0	764.0	1504.0	1323.0	4118.0	1064.0	5493.0	3588.0	824.0	7189.0	8009.0	5793.0	3867.0	3855.0	261.0	449.0	414.0	2297.0	90896.0	1099577.0	1891495.3563
SUBJ005/SUBJ005_ses-1	964.0	564.0	2218.0	1410.0	461.0	3248.0	4787.0	3633.0	1184.0	5679.0	2442.0	2705.0	1680.0	3216.0	613.0	1231.0	1610.0	601.0	1252.0	1272.0	3841.0	1054.0	4550.0	3508.0	699.0	4960.0	6475.0	5117.0	4530.0	4320.0	263.0	479.0	506.0	2391.0	83452.1	1059607.0	1542688.72416
SUBJ005/SUBJ005_ses-1.long.SUBJ005_tmpl	866.0	591.0	2138.0	1364.0	462.0	3131.0	4731.0	3564.0	1217.0	5465.0	2327.0	2578.0	1491.0	3184.0	627.0	1171.0	1657.0	617.0	1201.0	1284.0	3835.0	1162.0	4432.0	3436.0	749.0	5018.0	6418.0	5098.0	4414.0	4370.0	250.0	496.0	496.0	2825.0	82662.6	1047074.0	1542985.72313
