rh.pial.area	rh.pial	BrainSegVolNotVent	eTIV
SUBJ002/SUBJ002_ses-1	112570.0	1098284.0	1660018.3146
SUBJ002/SUBJ002_ses-1.long.SUBJ002_tmpl	110858.0	1073192.0	1658756.60649
SUBJ003/SUBJ003_ses-1	115225.0	1228028.0	1891990.48979
SUBJ003/SUBJ003_ses-1.long.SUBJ003_tmpl	114024.0	1211693.0	1891495.3563
SUBJ003/SUBJ003_ses-2	112917.0	1187036.0	1890143.54591
SUBJ003/SUBJ003_ses-2.long.SUBJ003_tmpl	112167.0	1186296.0	1891495.3563
SUBJ003/SUBJ003_ses-3	110461.0	1153777.0	1906233.04043
SUBJ003/SUBJ003_ses-3.long.SUBJ003_tmpl	108584.0	1099577.0	1891495.3563
SUBJ005/SUBJ005_ses-1	102364.0	1059607.0	1542688.72416
SUBJ005/SUBJ005_ses-1.long.SUBJ005_tmpl	100737.0	1047074.0	1542985.72313
SUBJ005/SUBJ005_ses-2	101859.0	1040744.0	1548894.1693
SUBJ005/SUBJ005_ses-2.long.SUBJ005_tmpl	99842.0	1032381.0	1542985.72313
SUBJ005/SUBJ005_ses-3	97548.0	985177.0	1556820.30335
SUBJ005/SUBJ005_ses-3.long.SUBJ005_tmpl	95962.0	977143.0	1542985.72313
SUBJ006/SUBJ006_ses-1	93103.0	919636.0	1412491.45507
SUBJ006/SUBJ006_ses-1.long.SUBJ006_tmpl	92764.0	910088.0	1412416.00938
SUBJ007/SUBJ007_ses-1	104873.0	1078690.0	1639139.6315
SUBJ007/SUBJ007_ses-1.long.SUBJ007_tmpl	104343.0	1070390.0	1631450.71504
SUBJ007/SUBJ007_ses-2	103636.0	1050219.0	1632982.33051
SUBJ007/SUBJ007_ses-2.long.SUBJ007_tmpl	102806.0	1035538.0	1631450.71504
SUBJ010/SUBJ010_ses-1	102234.0	1067218.0	1521711.5364
SUBJ010/SUBJ010_ses-1.long.SUBJ010_tmpl	100973.0	1051701.0	1510859.36526
SUBJ010/SUBJ010_ses-2	101203.0	1048432.0	1514511.40079
SUBJ010/SUBJ010_ses-2.long.SUBJ010_tmpl	99654.0	1032190.0	1510859.36526
SUBJ010/SUBJ010_ses-3	99744.0	1017625.0	1504921.93009
SUBJ010/SUBJ010_ses-3.long.SUBJ010_tmpl	98462.0	1009770.0	1510859.36526
SUBJ011/SUBJ011_ses-1	100501.0	977975.0	1512501.17325
SUBJ011/SUBJ011_ses-1.long.SUBJ011_tmpl	99514.0	947879.0	1511040.41697
SUBJ014/SUBJ014_ses-1	109895.0	1072741.0	1671506.47398
SUBJ014/SUBJ014_ses-1.long.SUBJ014_tmpl	108723.0	1056419.0	1672892.97302
SUBJ018/SUBJ018_ses-1	91194.0	926824.0	1417546.79044
SUBJ018/SUBJ018_ses-1.long.SUBJ018_tmpl	90610.0	927183.0	1418593.48087
SUBJ018/SUBJ018_ses-2	91640.0	976984.0	1417118.51887
SUBJ018/SUBJ018_ses-2.long.SUBJ018_tmpl	89577.0	917676.0	1418593.48087
SUBJ024/SUBJ024_ses-1	104862.0	1023227.0	1615085.55663
SUBJ024/SUBJ024_ses-1.long.SUBJ024_tmpl	103795.0	999104.0	1614890.36439
SUBJ025/SUBJ025_ses-1	98960.0	1049001.0	1535139.19921
SUBJ025/SUBJ025_ses-1.long.SUBJ025_tmpl	97262.0	1027430.0	1535129.39304
SUBJ027/SUBJ027_ses-1	95085.0	969937.0	1443324.65023
SUBJ027/SUBJ027_ses-1.long.SUBJ027_tmpl	94533.0	965976.0	1443754.87963
SUBJ027/SUBJ027_ses-2	94528.0	954307.0	1445393.21818
SUBJ027/SUBJ027_ses-2.long.SUBJ027_tmpl	92871.0	934738.0	1443754.87963
SUBJ030/SUBJ030_ses-1	88101.0	818481.0	1318328.52582
SUBJ030/SUBJ030_ses-1.long.SUBJ030_tmpl	87678.0	807878.0	1317783.06056
SUBJ035/SUBJ035_ses-1	118232.0	1176440.0	1906330.2151
SUBJ035/SUBJ035_ses-1.long.SUBJ035_tmpl	116294.0	1129974.0	1908008.65165
SUBJ039/SUBJ039_ses-1	103120.0	993197.0	1558587.95514
SUBJ039/SUBJ039_ses-1.long.SUBJ039_tmpl	101993.0	984605.0	1558664.81014
SUBJ046/SUBJ046_ses-1	90421.0	941995.0	1374772.40454
SUBJ046/SUBJ046_ses-1.long.SUBJ046_tmpl	89566.0	940301.0	1375793.57414
SUBJ048/SUBJ048_ses-1	114644.0	1170806.0	1745124.15922
SUBJ048/SUBJ048_ses-1.long.SUBJ048_tmpl	114162.0	1162475.0	1745203.92449
SUBJ048/SUBJ048_ses-2	114089.0	1161421.0	1751451.7277
SUBJ048/SUBJ048_ses-2.long.SUBJ048_tmpl	113227.0	1146949.0	1745203.92449
SUBJ051/SUBJ051_ses-1	102264.0	1073373.0	1684821.68186
SUBJ051/SUBJ051_ses-1.long.SUBJ051_tmpl	101449.0	1063701.0	1686376.3605
SUBJ051/SUBJ051_ses-2	101698.0	1036619.0	1700178.97419
SUBJ051/SUBJ051_ses-2.long.SUBJ051_tmpl	100673.0	1023893.0	1686376.3605
SUBJ053/SUBJ053_ses-1	111910.0	1214790.0	1752962.99226
SUBJ053/SUBJ053_ses-1.long.SUBJ053_tmpl	113624.0	1204795.0	1748556.17237
SUBJ053/SUBJ053_ses-2	114812.0	1220549.0	1747895.98472
SUBJ053/SUBJ053_ses-2.long.SUBJ053_tmpl	113747.0	1207611.0	1748556.17237
SUBJ053/SUBJ053_ses-3	114306.0	1213002.0	1753018.84099
SUBJ053/SUBJ053_ses-3.long.SUBJ053_tmpl	113167.0	1205683.0	1748556.17237
SUBJ055/SUBJ055_ses-1	94323.0	962559.0	1479239.4276
SUBJ055/SUBJ055_ses-1.long.SUBJ055_tmpl	93802.0	951204.0	1478414.13862
SUBJ057/SUBJ057_ses-1	93320.0	970383.0	1411153.06456
SUBJ057/SUBJ057_ses-1.long.SUBJ057_tmpl	94627.0	978314.0	1412071.47885
SUBJ065/SUBJ065_ses-1	101363.0	993969.0	1599941.0985
SUBJ065/SUBJ065_ses-1.long.SUBJ065_tmpl	100568.0	978039.0	1583838.57892
SUBJ065/SUBJ065_ses-2	107309.0	1093003.0	1608799.36432
SUBJ065/SUBJ065_ses-2.long.SUBJ065_tmpl	100232.0	978737.0	1583838.57892
SUBJ067/SUBJ067_ses-1	90457.0	929717.0	1428959.95656
SUBJ067/SUBJ067_ses-1.long.SUBJ067_tmpl	89258.0	920714.0	1424836.77979
SUBJ067/SUBJ067_ses-2	89235.0	922463.0	1423416.87661
SUBJ067/SUBJ067_ses-2.long.SUBJ067_tmpl	87885.0	907229.0	1424836.77979
SUBJ070/SUBJ070_ses-1	83567.0	815925.0	1410236.81775
SUBJ070/SUBJ070_ses-1.long.SUBJ070_tmpl	82905.0	798119.0	1407378.95741
SUBJ071/SUBJ071_ses-1	97768.0	1014979.0	1518383.55494
SUBJ071/SUBJ071_ses-1.long.SUBJ071_tmpl	97146.0	1007458.0	1516941.55268
SUBJ073/SUBJ073_ses-1	122636.0	1259978.0	1755207.26134
SUBJ073/SUBJ073_ses-1.long.SUBJ073_tmpl	121529.0	1246353.0	1756156.5889
SUBJ073/SUBJ073_ses-2	122424.0	1244050.0	1757967.1714
SUBJ073/SUBJ073_ses-2.long.SUBJ073_tmpl	120753.0	1231992.0	1756156.5889
SUBJ074/SUBJ074_ses-1	107486.0	1077765.0	1743992.01832
SUBJ074/SUBJ074_ses-1.long.SUBJ074_tmpl	106156.0	1057297.0	1752425.18383
SUBJ074/SUBJ074_ses-2	107379.0	1070514.0	1763736.75114
SUBJ074/SUBJ074_ses-2.long.SUBJ074_tmpl	104987.0	1030872.0	1752425.18383
SUBJ075/SUBJ075_ses-1	104369.0	1052163.0	1707901.23796
SUBJ075/SUBJ075_ses-1.long.SUBJ075_tmpl	103827.0	1039781.0	1706321.42449
SUBJ076/SUBJ076_ses-1	112794.0	1144905.0	1867033.26377
SUBJ076/SUBJ076_ses-1.long.SUBJ076_tmpl	112231.0	1128149.0	1866142.92566
SUBJ079/SUBJ079_ses-1	104419.0	1080375.0	1680086.52946
SUBJ079/SUBJ079_ses-1.long.SUBJ079_tmpl	103891.0	1076351.0	1685211.21231
SUBJ079/SUBJ079_ses-2	104180.0	1078184.0	1679040.9717
SUBJ079/SUBJ079_ses-2.long.SUBJ079_tmpl	103449.0	1067010.0	1685211.21231
SUBJ079/SUBJ079_ses-3	103136.0	1065683.0	1687771.9604
SUBJ079/SUBJ079_ses-3.long.SUBJ079_tmpl	102944.0	1054682.0	1685211.21231
SUBJ080/SUBJ080_ses-1	97383.0	1039493.0	1391635.95969
SUBJ080/SUBJ080_ses-1.long.SUBJ080_tmpl	96807.0	1033870.0	1400490.59269
SUBJ080/SUBJ080_ses-2	97003.0	1022275.0	1383508.76144
SUBJ080/SUBJ080_ses-2.long.SUBJ080_tmpl	95842.0	1013302.0	1400490.59269
SUBJ080/SUBJ080_ses-3	97629.0	1027205.0	1395467.66276
SUBJ080/SUBJ080_ses-3.long.SUBJ080_tmpl	97782.0	1020813.0	1400490.59269
SUBJ081/SUBJ081_ses-1	88874.0	903195.0	1331171.1436
SUBJ081/SUBJ081_ses-1.long.SUBJ081_tmpl	88213.0	893494.0	1324370.17476
SUBJ081/SUBJ081_ses-2	89268.0	896202.0	1314095.74548
SUBJ081/SUBJ081_ses-2.long.SUBJ081_tmpl	88018.0	883636.0	1324370.17476
SUBJ081/SUBJ081_ses-3	87091.0	877958.0	1321364.72041
SUBJ081/SUBJ081_ses-3.long.SUBJ081_tmpl	86347.0	861310.0	1324370.17476
SUBJ082/SUBJ082_ses-1	112500.0	1230538.0	1757597.72426
SUBJ082/SUBJ082_ses-1.long.SUBJ082_tmpl	111695.0	1217089.0	1759436.09585
SUBJ082/SUBJ082_ses-2	112655.0	1228511.0	1763093.77496
SUBJ082/SUBJ082_ses-2.long.SUBJ082_tmpl	111742.0	1220166.0	1759436.09585
SUBJ082/SUBJ082_ses-3	111372.0	1203359.0	1760801.98519
SUBJ082/SUBJ082_ses-3.long.SUBJ082_tmpl	110866.0	1195489.0	1759436.09585
SUBJ083/SUBJ083_ses-1	110512.0	1212405.0	1697912.41041
SUBJ083/SUBJ083_ses-1.long.SUBJ083_tmpl	109066.0	1198933.0	1684898.63547
SUBJ083/SUBJ083_ses-2	108842.0	1202412.0	1705743.47913
SUBJ083/SUBJ083_ses-2.long.SUBJ083_tmpl	107077.0	1177758.0	1684898.63547
SUBJ083/SUBJ083_ses-3	108026.0	1174693.0	1659623.31905
SUBJ083/SUBJ083_ses-3.long.SUBJ083_tmpl	106926.0	1170511.0	1684898.63547
SUBJ083/SUBJ083_ses-4	109372.0	1160740.0	1532904.61792
SUBJ083/SUBJ083_ses-4.long.SUBJ083_tmpl	108629.0	1151401.0	1684898.63547
SUBJ086/SUBJ086_ses-1	93461.0	1006408.0	1340817.64925
SUBJ086/SUBJ086_ses-1.long.SUBJ086_tmpl	92889.0	1002505.0	1349679.48227
