rh.aparc.area	bankssts	caudalanteriorcingulate	caudalmiddlefrontal	cuneus	entorhinal	fusiform	inferiorparietal	inferiortemporal	isthmuscingulate	lateraloccipital	lateralorbitofrontal	lingual	medialorbitofrontal	middletemporal	parahippocampal	paracentral	parsopercularis	parsorbitalis	parstriangularis	pericalcarine	postcentral	posteriorcingulate	precentral	precuneus	rostralanteriorcingulate	rostralmiddlefrontal	superiorfrontal	superiorparietal	superiortemporal	supramarginal	frontalpole	temporalpole	transversetemporal	insula	WhiteSurfArea	BrainSegVolNotVent	eTIV
SUBJ002/SUBJ002_ses-1	837.0	608.0	2042.0	1770.0	534.0	3013.0	5279.0	3465.0	1040.0	5025.0	3268.0	2736.0	2301.0	3629.0	626.0	1741.0	1489.0	875.0	1608.0	1291.0	4557.0	1387.0	5412.0	3822.0	574.0	6591.0	7861.0	6281.0	3914.0	4037.0	266.0	455.0	397.0	2267.0	90994.9	1098284.0	1660018.3146
SUBJ002/SUBJ002_ses-1.long.SUBJ002_tmpl	812.0	669.0	1985.0	1668.0	479.0	2928.0	5208.0	3211.0	1027.0	4949.0	3207.0	2573.0	2257.0	3554.0	607.0	1725.0	1495.0	839.0	1451.0	1255.0	4370.0	1401.0	5299.0	3873.0	607.0	6456.0	7742.0	6145.0	3811.0	3959.0	233.0	395.0	403.0	2302.0	88893.7	1073192.0	1658756.60649
SUBJ003/SUBJ003_ses-1	944.0	1076.0	1994.0	1659.0	527.0	3752.0	5076.0	3746.0	1122.0	5699.0	2684.0	2980.0	2143.0	3844.0	624.0	1630.0	1281.0	909.0	1522.0	1447.0	4894.0	1468.0	5751.0	4331.0	568.0	6916.0	7348.0	6029.0	3989.0	4988.0	313.0	495.0	323.0	2790.0	94850.3	1228028.0	1891990.48979
SUBJ003/SUBJ003_ses-1.long.SUBJ003_tmpl	910.0	1043.0	1979.0	1578.0	463.0	3696.0	5078.0	3631.0	1090.0	5544.0	2531.0	2785.0	2171.0	3662.0	599.0	1654.0	1209.0	907.0	1634.0	1383.0	4830.0	1405.0	5593.0	4293.0	606.0	6810.0	7273.0	5924.0	3992.0	4930.0	301.0	569.0	291.0	2635.0	92996.4	1211693.0	1891495.3563
SUBJ003/SUBJ003_ses-2	943.0	1001.0	1990.0	1621.0	481.0	3601.0	5086.0	3611.0	1100.0	5621.0	2676.0	2894.0	2014.0	3747.0	599.0	1587.0	1259.0	862.0	1563.0	1428.0	4954.0	1436.0	5713.0	4279.0	546.0	6941.0	7230.0	5985.0	4029.0	4947.0	309.0	510.0	297.0	2706.0	93565.8	1187036.0	1890143.54591
SUBJ003/SUBJ003_ses-2.long.SUBJ003_tmpl	899.0	1011.0	1948.0	1608.0	448.0	3626.0	5062.0	3608.0	1068.0	5584.0	2527.0	2777.0	1989.0	3615.0	573.0	1569.0	1207.0	897.0	1604.0	1376.0	4830.0	1388.0	5597.0	4223.0	563.0	6742.0	7215.0	5968.0	3915.0	4876.0	290.0	571.0	283.0	2686.0	92142.4	1186296.0	1891495.3563
SUBJ003/SUBJ003_ses-3	912.0	1031.0	2095.0	1634.0	353.0	3698.0	5065.0	3700.0	992.0	5536.0	2646.0	2848.0	2078.0	3576.0	566.0	1742.0	1299.0	921.0	1526.0	1371.0	4897.0	1361.0	5791.0	4164.0	589.0	7143.0	7493.0	5938.0	3969.0	4914.0	284.0	480.0	310.0	2712.0	93599.8	1153777.0	1906233.04043
SUBJ003/SUBJ003_ses-3.long.SUBJ003_tmpl	896.0	1014.0	1942.0	1557.0	431.0	3473.0	4864.0	3460.0	1023.0	5199.0	2497.0	2634.0	2007.0	3435.0	534.0	1641.0	1184.0	875.0	1575.0	1383.0	4706.0	1316.0	5741.0	3967.0	564.0	6775.0	7312.0	5710.0	3812.0	4780.0	324.0	480.0	280.0	2646.0	90033.6	1099577.0	1891495.3563
SUBJ005/SUBJ005_ses-1	835.0	761.0	2192.0	1637.0	382.0	2990.0	6319.0	3836.0	877.0	4385.0	2599.0	3138.0	1647.0	3364.0	552.0	1699.0	1144.0	702.0	1209.0	1567.0	4054.0	1100.0	4929.0	3733.0	506.0	5406.0	6332.0	5254.0	3722.0	3536.0	232.0	422.0	317.0	2253.0	83629.0	1059607.0	1542688.72416
SUBJ005/SUBJ005_ses-1.long.SUBJ005_tmpl	762.0	814.0	2082.0	1625.0	429.0	2939.0	5689.0	3661.0	874.0	4713.0	2563.0	3043.0	1594.0	3184.0	583.0	1636.0	1100.0	757.0	1340.0	1483.0	4000.0	1007.0	4848.0	3719.0	543.0	5391.0	6107.0	5301.0	3556.0	3583.0	268.0	494.0	356.0	2224.0	82238.4	1047074.0	1542985.72313
