"","Diagnostic","morphological_parameter","clinical_test","Correlation","pvalue","eff.size","ROI","Age_correction","pval.adj"
"1","AD","K","A7/A5",0.043,0.8342,0.09,"Hemisphere","no",1
"2","AD","K","AB1_ratio",-0.35,0.2649,-0.75,"Hemisphere","no",0.5298
"3","AD","K","AB1-40",0.39,0.2067,0.85,"Hemisphere","no",0.4134
"4","AD","K","AB1-42",0.34,0.2791,0.72,"Hemisphere","no",0.5582
"5","AD","K","COGNITIVE_INDEX",0.14,0.4899,0.28,"Hemisphere","no",0.9798
"6","AD","K","DIGIT SPAN BACK",-0.028,0.8926,-0.06,"Hemisphere","no",1
"7","AD","K","Lipoxina",0.27,0.391,0.56,"Hemisphere","no",0.782
"8","AD","K","TAU",0.48,0.1128,1.1,"Hemisphere","no",0.2256
"9","AD","K","TAU_AB1_42_ratio",0.4,0.201,0.87,"Hemisphere","no",0.402
"10","AD","K","TAU_AB1_ratio",0.51,0.09307,1.2,"Hemisphere","no",0.18614
"11","AD","K","TMT B-A",-0.28,0.1721,-0.58,"Hemisphere","no",0.6884
"12","AD","K","A7/A5",0.12,0.5671,0.24,"Hemisphere","yes",1
"13","AD","K","AB1_ratio",-0.34,0.2859,-0.72,"Hemisphere","yes",0.5718
"14","AD","K","AB1-40",0.35,0.2633,0.75,"Hemisphere","yes",0.5266
"15","AD","K","AB1-42",0.29,0.3616,0.61,"Hemisphere","yes",0.7232
"16","AD","K","COGNITIVE_INDEX",0.21,0.2945,0.43,"Hemisphere","yes",0.589
"17","AD","K","DIGIT SPAN BACK",0.039,0.8514,0.08,"Hemisphere","yes",1
"18","AD","K","Lipoxina",0.32,0.307,0.68,"Hemisphere","yes",0.614
"19","AD","K","TAU",0.46,0.1337,1,"Hemisphere","yes",0.2674
"20","AD","K","TAU_AB1_42_ratio",0.4,0.1995,0.87,"Hemisphere","yes",0.399
"21","AD","K","TAU_AB1_ratio",0.48,0.11,1.1,"Hemisphere","yes",0.22
"22","AD","K","TMT B-A",-0.33,0.09624,-0.7,"Hemisphere","yes",0.38496
"23","AD","logAvgThickness","A7/A5",0.033,0.8715,0.07,"Hemisphere","no",1
"24","AD","logAvgThickness","AB1_ratio",-0.14,0.6561,-0.28,"Hemisphere","no",1
"25","AD","logAvgThickness","AB1-40",0.36,0.2452,0.77,"Hemisphere","no",0.4904
"26","AD","logAvgThickness","AB1-42",0.4,0.2024,0.87,"Hemisphere","no",0.4048
"27","AD","logAvgThickness","COGNITIVE_INDEX",-0.1,0.6124,-0.2,"Hemisphere","no",1
"28","AD","logAvgThickness","DIGIT SPAN BACK",0.21,0.3117,0.43,"Hemisphere","no",1
"29","AD","logAvgThickness","Lipoxina",-0.009,0.9779,-0.02,"Hemisphere","no",1
"30","AD","logAvgThickness","TAU",0.37,0.2311,0.8,"Hemisphere","no",0.4622
"31","AD","logAvgThickness","TAU_AB1_42_ratio",0.24,0.4452,0.49,"Hemisphere","no",0.8904
"32","AD","logAvgThickness","TAU_AB1_ratio",0.36,0.2435,0.77,"Hemisphere","no",0.487
"33","AD","logAvgThickness","TMT B-A",-0.019,0.9283,-0.04,"Hemisphere","no",1
"34","AD","logAvgThickness","A7/A5",0.17,0.418,0.35,"Hemisphere","yes",1
"35","AD","logAvgThickness","AB1_ratio",-0.029,0.9283,-0.06,"Hemisphere","yes",1
"36","AD","logAvgThickness","AB1-40",0.25,0.4363,0.52,"Hemisphere","yes",0.8726
"37","AD","logAvgThickness","AB1-42",0.28,0.3695,0.58,"Hemisphere","yes",0.739
"38","AD","logAvgThickness","COGNITIVE_INDEX",0.025,0.9025,0.05,"Hemisphere","yes",1
"39","AD","logAvgThickness","DIGIT SPAN BACK",0.32,0.1118,0.68,"Hemisphere","yes",0.4472
"40","AD","logAvgThickness","Lipoxina",0.062,0.8477,0.12,"Hemisphere","yes",1
"41","AD","logAvgThickness","TAU",0.3,0.3467,0.63,"Hemisphere","yes",0.6934
"42","AD","logAvgThickness","TAU_AB1_42_ratio",0.22,0.4888,0.45,"Hemisphere","yes",0.9776
"43","AD","logAvgThickness","TAU_AB1_ratio",0.28,0.376,0.58,"Hemisphere","yes",0.752
"44","AD","logAvgThickness","TMT B-A",-0.11,0.6053,-0.22,"Hemisphere","yes",1
"45","MCI","K","A7/A5",0.25,0.0332,0.52,"Hemisphere","no",0.1328
"46","MCI","K","AB1_ratio",-0.023,0.9056,-0.05,"Hemisphere","no",1
"47","MCI","K","AB1-40",0.18,0.3476,0.37,"Hemisphere","no",0.6952
"48","MCI","K","AB1-42",0.41,0.03004,0.9,"Hemisphere","no",0.06008
"49","MCI","K","COGNITIVE_INDEX",0.22,0.06768,0.45,"Hemisphere","no",0.13536
"50","MCI","K","DIGIT SPAN BACK",0.082,0.4872,0.16,"Hemisphere","no",1
"51","MCI","K","Lipoxina",0.13,0.5019,0.26,"Hemisphere","no",1
"52","MCI","K","TAU",-0.12,0.5553,-0.24,"Hemisphere","no",1
"53","MCI","K","TAU_AB1_42_ratio",-0.29,0.1406,-0.61,"Hemisphere","no",0.2812
"54","MCI","K","TAU_AB1_ratio",-0.28,0.1431,-0.58,"Hemisphere","no",0.2862
"55","MCI","K","TMT B-A",-0.097,0.4111,-0.19,"Hemisphere","no",1
"56","MCI","K","A7/A5",0.22,0.05883,0.45,"Hemisphere","yes",0.23532
"57","MCI","K","AB1_ratio",-0.076,0.7006,-0.15,"Hemisphere","yes",1
"58","MCI","K","AB1-40",0.29,0.1369,0.61,"Hemisphere","yes",0.2738
"59","MCI","K","AB1-42",0.43,0.02099,0.95,"Hemisphere","yes",0.04198
"60","MCI","K","COGNITIVE_INDEX",0.17,0.1588,0.35,"Hemisphere","yes",0.3176
"61","MCI","K","DIGIT SPAN BACK",0.075,0.5245,0.15,"Hemisphere","yes",1
"62","MCI","K","Lipoxina",0.12,0.5587,0.24,"Hemisphere","yes",1
"63","MCI","K","TAU",-0.00053,0.9979,0,"Hemisphere","yes",1
"64","MCI","K","TAU_AB1_42_ratio",-0.21,0.2787,-0.43,"Hemisphere","yes",0.5574
"65","MCI","K","TAU_AB1_ratio",-0.18,0.3517,-0.37,"Hemisphere","yes",0.7034
"66","MCI","K","TMT B-A",-0.029,0.8032,-0.06,"Hemisphere","yes",1
"67","MCI","logAvgThickness","A7/A5",0.25,0.03184,0.52,"Hemisphere","no",0.12736
"68","MCI","logAvgThickness","AB1_ratio",0.045,0.8188,0.09,"Hemisphere","no",1
"69","MCI","logAvgThickness","AB1-40",-0.27,0.1716,-0.56,"Hemisphere","no",0.3432
"70","MCI","logAvgThickness","AB1-42",0.087,0.6585,0.17,"Hemisphere","no",1
"71","MCI","logAvgThickness","COGNITIVE_INDEX",0.085,0.4802,0.17,"Hemisphere","no",0.9604
"72","MCI","logAvgThickness","DIGIT SPAN BACK",-0.082,0.4857,-0.16,"Hemisphere","no",1
"73","MCI","logAvgThickness","Lipoxina",0.2,0.3185,0.41,"Hemisphere","no",0.637
"74","MCI","logAvgThickness","TAU",-0.46,0.01372,-1,"Hemisphere","no",0.02744
"75","MCI","logAvgThickness","TAU_AB1_42_ratio",-0.23,0.245,-0.47,"Hemisphere","no",0.49
