"","Sample","ROI","c"
"1","IDOR","hemisphere",NA
"2","IDOR","hemisphere",NA
"3","IDOR","F",2.01616417766832
"4","IDOR","F",1.93832532769766
"5","IDOR","P",3.98557857565695
"6","IDOR","P",3.55183118947899
"7","IDOR","T",3.21381529795567
"8","IDOR","T",3.40184313195807
"9","IDOR","O",3.71512258393423
"10","IDOR","O",3.60526601552615
"11","IDOR","hemisphere",NA
"12","IDOR","hemisphere",NA
"13","IDOR","F",1.86002119475635
"14","IDOR","F",1.84816701322752
"15","IDOR","P",4.48813281289824
"16","IDOR","P",3.82214424756226
"17","IDOR","T",3.87460821029514
"18","IDOR","T",3.96907474777848
"19","IDOR","O",3.07649425277674
"20","IDOR","O",3.00741354085272
"21","IDOR","hemisphere",NA
"22","IDOR","hemisphere",NA
"23","IDOR","F",1.94008370006729
"24","IDOR","F",1.84897943207613
"25","IDOR","P",5.02903339089326
"26","IDOR","P",4.41675568766907
"27","IDOR","T",3.10096331871796
"28","IDOR","T",3.30094120799638
"29","IDOR","O",2.72376664073009
"30","IDOR","O",3.01247942727357
"31","IDOR","hemisphere",NA
"32","IDOR","hemisphere",NA
"33","IDOR","F",1.97166304808475
"34","IDOR","F",1.78724931032876
"35","IDOR","P",4.82070070032232
"36","IDOR","P",5.0755143435499
"37","IDOR","T",3.45365704440162
"38","IDOR","T",3.49123863314411
"39","IDOR","O",3.57818374560432
"40","IDOR","O",3.25270982942791
"41","IDOR","hemisphere",NA
"42","IDOR","hemisphere",NA
"43","IDOR","F",1.82792469920958
"44","IDOR","F",1.8601396751749
"45","IDOR","P",5.34244858841914
"46","IDOR","P",4.73849866723156
"47","IDOR","T",3.80981494110668
"48","IDOR","T",4.38077711423408
"49","IDOR","O",3.54638753571794
"50","IDOR","O",2.99986696972642
"51","IDOR","hemisphere",NA
"52","IDOR","hemisphere",NA
"53","IDOR","F",1.98039088566848
"54","IDOR","F",1.9128356439715
"55","IDOR","P",5.39591202134964
"56","IDOR","P",4.40027310258815
"57","IDOR","T",3.76163033777863
"58","IDOR","T",3.14109612647041
"59","IDOR","O",2.587697305
"60","IDOR","O",3.01623100737865
"61","IDOR","hemisphere",NA
"62","IDOR","hemisphere",NA
"63","IDOR","F",2.10608126434327
"64","IDOR","F",1.96699476799613
"65","IDOR","P",3.68632702895186
"66","IDOR","P",3.96511326154773
"67","IDOR","T",3.66750617897773
"68","IDOR","T",3.37537328052105
"69","IDOR","O",2.9162510614155
"70","IDOR","O",3.01779485221537
"71","IDOR","hemisphere",NA
"72","IDOR","hemisphere",NA
"73","IDOR","F",1.81140373266154
"74","IDOR","F",1.97459765025705
"75","IDOR","P",4.96798370495733
"76","IDOR","P",4.50006016405784
"77","IDOR","T",3.26468028169785
"78","IDOR","T",3.67922528423104
"79","IDOR","O",3.05593841271156
