"","Diagnostic","ROI","Age.trend","SE.y","percent","Variable","TX"
"1","CTL","F",-0.00541179405260203,0.000175927727693462,-0.32,"T","-0.0054 ± 0.00018"
"2","MCI","F",-0.0120304157661936,0.00579903953855424,-0.48,"T","-0.012 ± 0.0058"
"3","AD","F",-0.000246073599020074,0.000805872504619472,-0.017,"T","-0.00025 ± 0.00081"
"4","CTL","O",-0.00278303610110083,0.00017592772769343,-0.11,"T","-0.0028 ± 0.00018"
"5","MCI","O",0.00234695477113464,0.00579903953855125,0.13,"T","0.0023 ± 0.0058"
"6","AD","O",-0.00211379757168025,0.000805872504619475,-0.086,"T","-0.0021 ± 0.00081"
"7","CTL","P",-0.00503643131662437,0.00017592772769343,-0.2,"T","-0.005 ± 0.00018"
"8","MCI","P",-0.00960242281722818,0.00579903953855131,-0.42,"T","-0.0096 ± 0.0058"
"9","AD","P",-0.00121906041984897,0.000805872504619463,-0.053,"T","-0.0012 ± 0.00081"
"10","CTL","T",-0.00634489115979996,0.00017592772769343,-0.27,"T","-0.0063 ± 0.00018"
"11","MCI","T",-0.0097584758397773,0.00579903953855117,-0.36,"T","-0.0098 ± 0.0058"
"12","AD","T",0.00132739754656836,0.000805872504619465,0.063,"T","0.0013 ± 0.00081"
"13","CTL","F",-0.000272963035745834,2.94233435712187e-05,-0.063,"K","-0.00027 ± 2.9e-05"
"14","MCI","F",-0.000387525884855455,0.000969761085850367,-0.078,"K","-0.00039 ± 0.00097"
"15","AD","F",-6.49493232953108e-05,0.000134763564578945,-0.014,"K","-6.5e-05 ± 0.00013"
"16","CTL","O",-0.000882838268131118,2.94233435712162e-05,-0.24,"K","-0.00088 ± 2.9e-05"
"17","MCI","O",-0.000310427407975787,0.000969761085850044,-0.081,"K","-0.00031 ± 0.00097"
"18","AD","O",-0.000141500104156626,0.000134763564578948,-0.034,"K","-0.00014 ± 0.00013"
"19","CTL","P",-0.00120980922538235,2.94233435712162e-05,-0.27,"K","-0.0012 ± 2.9e-05"
"20","MCI","P",-0.00105438034818985,0.000969761085850052,-0.29,"K","-0.0011 ± 0.00097"
"21","AD","P",0.000159888636121783,0.000134763564578948,0.032,"K","0.00016 ± 0.00013"
"22","CTL","T",-0.00102963731672358,2.94233435712162e-05,-0.3,"K","-0.001 ± 2.9e-05"
"23","MCI","T",-0.00156861536789022,0.000969761085850002,-0.42,"K","-0.0016 ± 0.00097"
"24","AD","T",0.000226787513751855,0.000134763564578947,0.059,"K","0.00023 ± 0.00013"
"25","CTL","F",0.00157901182105326,0.000174386899805631,0.021,"S","0.0016 ± 0.00017"
"26","MCI","F",0.0118678226285586,0.00575691110300854,0.15,"S","0.012 ± 0.0058"
"27","AD","F",0.0020399130758301,0.000800020916578495,0.027,"S","0.002 ± 8e-04"
"28","CTL","O",0.00217011955022733,0.000174386899805496,0.029,"S","0.0022 ± 0.00017"
"29","MCI","O",-0.00135035571452154,0.00575691110300592,-0.018,"S","-0.0014 ± 0.0058"
"30","AD","O",0.000284223712738003,0.000800020916578475,0.0037,"S","0.00028 ± 8e-04"
"31","CTL","P",0.00362253028957446,0.000174386899805496,0.044,"S","0.0036 ± 0.00017"
"32","MCI","P",0.0118170850510644,0.00575691110300585,0.15,"S","0.012 ± 0.0058"
"33","AD","P",-0.000212239850096269,0.000800020916578454,-0.0025,"S","-0.00021 ± 8e-04"
"34","CTL","T",0.00475196537826922,0.000174386899805496,0.06,"S","0.0048 ± 0.00017"
"35","MCI","T",0.0107728327373065,0.00575691110300585,0.15,"S","0.011 ± 0.0058"
"36","AD","T",-0.00225035273612417,0.000800020916578464,-0.027,"S","-0.0023 ± 8e-04"
"37","CTL","F",-0.00702599224596697,0.000280445011594127,-0.089,"I","-0.007 ± 0.00028"
"38","MCI","F",-0.00237054833507837,0.00925797153158265,-0.025,"I","-0.0024 ± 0.0093"
"39","AD","F",0.0013002811433211,0.00128641507163807,0.017,"I","0.0013 ± 0.0013"
"40","CTL","O",-0.000500393991695427,0.000280445011594217,-0.0055,"I","-5e-04 ± 0.00028"
"41","MCI","O",0.00193375468218121,0.00925797153158019,0.024,"I","0.0019 ± 0.0093"
"42","AD","O",-0.00204819811453926,0.00128641507163803,-0.023,"I","-0.002 ± 0.0013"
"43","CTL","P",-0.00195110967584775,0.000280445011594217,-0.02,"I","-0.002 ± 0.00028"
"44","MCI","P",-0.000764156329712128,0.00925797153157999,-0.0085,"I","-0.00076 ± 0.0093"
"45","AD","P",-0.00168314544131987,0.00128641507163803,-0.018,"I","-0.0017 ± 0.0013"
"46","CTL","T",-0.0027604811811077,0.000280445011594217,-0.03,"I","-0.0028 ± 0.00028"
"47","MCI","T",0.00037164412385532,0.00925797153158042,0.0042,"I","0.00037 ± 0.0093"
"48","AD","T",1.68222331078504e-06,0.00128641507163802,1.9e-05,"I","1.7e-06 ± 0.0013"
