"","Sample","Diagnostic","N","age","age_range","AvgT","AT","AE","K","S","I"
"1","ADNI-AD","AD",542,"75 ± 8","56 ;  92","2.2 ± 0.14","95000 ± 10000","38000 ± 3300","-0.58 ± 0.023","9.4 ± 0.15","10 ± 0.11"
"2","ADNI-Control","CTL",868,"75 ± 6.5","56 ;  96","2.4 ± 0.11","97000 ± 8400","39000 ± 2700","-0.56 ± 0.017","9.2 ± 0.13","10 ± 0.074"
"3","AHEAD-Control","CTL",100,"42 ± 19","24 ;  76","2.6 ± 0.15","110000 ± 10000","39000 ± 2700","-0.5 ± 0.023","9.2 ± 0.13","10 ± 0.094"
"4","AOMICPIOP1-Control","CTL",208,"22 ± 1.8","18 ;  26","2.6 ± 0.084","110000 ± 10000","40000 ± 2700","-0.49 ± 0.014","9.1 ± 0.094","10 ± 0.078"
"5","HCP500r-Control","CTL",508,"29 ± 3.4","24 ;  37","2.6 ± 0.092","110000 ± 10000","39000 ± 2900","-0.51 ± 0.014","9.1 ± 0.11","10 ± 0.08"
"6","IDOR-AD","AD",13,"77 ± 6.1","63 ;  86","2.4 ± 0.079","95000 ± 9300","37000 ± 3000","-0.55 ± 0.015","9.2 ± 0.13","10 ± 0.069"
"7","IDOR-Control","CTL",77,"66 ± 8.4","43 ;  80","2.5 ± 0.099","98000 ± 7800","37000 ± 2400","-0.52 ± 0.014","9.1 ± 0.1","10 ± 0.072"
"8","IDOR-MCI","MCI",33,"72 ± 4.6","62 ;  82","2.5 ± 0.085","97000 ± 8500","37000 ± 2800","-0.53 ± 0.014","9.2 ± 0.12","10 ± 0.063"
"9","NKI-Control","CTL",168,"34 ± 19","4 ;  85","2.5 ± 0.14","110000 ± 11000","40000 ± 2800","-0.52 ± 0.027","9.2 ± 0.12","10 ± 0.094"
"10","OASIS-Control","CTL",312,"45 ± 24","18 ;  94","2.3 ± 0.11","1e+05 ± 11000","39000 ± 2900","-0.55 ± 0.023","9.3 ± 0.11","10 ± 0.099"
